stop_id,stop_name,stop_lat,stop_lon
2,Parnell Square West,53.3522443611407,-6.263723218918821
3,Parnell Square West,53.352308551434895,-6.26381074216821
4,Parnell Square West,53.3525745131874,-6.264175486037931
6,Parnell Square West,53.352749335706996,-6.26445380396429
7,Parnell Square West,53.352840910580795,-6.2645702612174405
8,Parnell Square West,53.353272271484606,-6.26518367657395
10,Parnell Square West,53.3533921036497,-6.26538912389949
11,St Joseph's Parade,53.3568152335319,-6.26467919507521
12,Upper Dorset Street,53.35710751620461,-6.26438186733525
14,Dorset Street Lower,53.358531237878196,-6.2627765057086595
15,Innisfallen Parade,53.360266707598896,-6.26097804267247
16,Nephin Road Park,53.3663915571432,-6.3056141835273305
17,Drumcondra Rail Stn,53.363078324380396,-6.25839928847829
18,Dargle Road,53.36585592591911,-6.2559568206783
19,Botanic Avenue,53.3672348759349,-6.25559994097697
21,DCU St Patrick's,53.3701011992972,-6.254310599044371
22,Home Farm Road,53.373503609743096,-6.25280375269001
23,Ferguson Road,53.3742282800816,-6.25626100416695
24,Walsh Road,53.3751331588865,-6.2603723481231395
25,Rathlin Road,53.3758994661498,-6.26361773641705
27,Ballymun Road,53.379438960013104,-6.26658526125999
28,Hampstead Avenue,53.381578637630504,-6.2660022707773395
29,Albert College Park,53.383488252948204,-6.26566910125412
30,Ventry Park,53.370331900195104,-6.30460116922909
31,St Pappin's Road,53.3860332259168,-6.2688580772749605
32,Stormanstown Road,53.386195568076104,-6.27137720104136
33,Glasnevin Drive,53.3887179243081,-6.271771141224459
35,Dean Swift Road,53.3862067871037,-6.270910692540951
36,Maolbuille Road,53.3861268504134,-6.2678770697833395
37,DCU Ballymun Road,53.385346401196394,-6.2648869813179004
38,Hampstead Avenue,53.382236594166095,-6.26550952120501
39,The Rise,53.3804141869347,-6.265658759065841
40,Stella Avenue,53.3766607654531,-6.2646689685279
41,Home Farm Road,53.375559268328296,-6.2618580062466505
42,Corpus Christi NS,53.37465027346,-6.2574611897212895
43,Achill Road,53.3738612202293,-6.2539013104338705
44,Skylon Hotel,53.373017409122895,-6.2521323032429095
45,DCU St Patrick's,53.36993643440311,-6.254106940849611
46,Botanic Avenue,53.367131016217606,-6.255258556550079
47,Drumcondra Rail Stn,53.3639161189952,-6.25729825652797
48,Fitzroy Avenue,53.36225739012529,-6.25880841233312
49,Dorset Street Lower,53.3600042378903,-6.26085350834049
51,Temple Street,53.3578104088118,-6.26327157246547
52,Dorset Street Upper,53.3566607792373,-6.26456528204094
53,North Circular Road,53.3600144884247,-6.26279128910748
54,Mater Hospital,53.3602216080572,-6.26590803396304
55,Mountjoy,53.3604116029257,-6.26846957982232
56,Dalymount,53.360759724606396,-6.2763736549140505
57,Dalymount,53.360816224294204,-6.27655167484326
58,Churchview Home,53.3609462458936,-6.28120420246718
59,Annamoe Terrace,53.361018010198606,-6.28494256312823
60,Quarry Road,53.3612792196503,-6.28936450005441
63,Faussaugh Avenue,53.366792437295196,-6.292750108058491
64,Faussaugh Ave Church,53.367088582068796,-6.29523278220332
65,Dingle Road,53.3672546442408,-6.29805127641295
66,Broombridge Road,53.3672749883724,-6.3007403455498805
68,Ventry Drive,53.36907750804811,-6.30424523466637
69,Carnlough Road,53.3713925640956,-6.3033417168952095
71,Ventry Park,53.370257689331,-6.304438805303481
72,Ventry Drive,53.3689699260271,-6.30426453600159
73,Faussagh Avenue,53.3673915527279,-6.30072067865566
74,Faussaugh Ave Church,53.367200238565594,-6.29549881400774
75,Fionnbarra GAA,53.366547229896796,-6.2913173193678995
77,Quarry Road,53.36130918190471,-6.2895736523468395
78,Annamoe Terrace,53.361149215192796,-6.2840658352747
79,Churchview Home,53.3610212509784,-6.280795505621481
80,Phibsborough PO,53.3608629632753,-6.2760539615295805
81,Phibsborough,53.3608757479082,-6.271966626916031
82,Phibsborough,53.360797795917904,-6.27154908016377
83,Mater Hospital,53.36027924982471,-6.26554509616271
84,Leo Street,53.3601625615987,-6.263701780590969
85,Wellpark Avenue,53.3739579526161,-6.25191342966416
86,Home Farm FC,53.3760502204615,-6.25116639066164
87,Clare Road,53.3767517255744,-6.25488028992455
88,Walnut Rise,53.3772872553016,-6.25769922864556
90,Albert College Court,53.386385531676204,-6.26526567275517
91,Ballymun Road NS,53.38842788965079,-6.26540814207678
92,Ballymun Library,53.3898373340536,-6.264674240361001
93,Gateway Avenue,53.3923014677522,-6.264152975610089
94,Civic Centre,53.396034762414,-6.26437695995443
102,Balbutcher Lane,53.397773070168505,-6.26771985697008
104,Poppintree Parade,53.3997562075198,-6.276812945025231
105,Belclare Park,53.402936396684105,-6.281692696469441
107,Crannogue Road,53.4020356254354,-6.27968361815457
110,Árd Na Meala,53.397938640963794,-6.26860038147326
112,Civic Centre,53.3961544015487,-6.26395104030175
113,Trinity Comp School,53.392267962928706,-6.26370325464242
114,Ballymun Road,53.391333322056894,-6.263711229252321
115,Ballymun Road Church,53.387964091989495,-6.265036100481441
116,Griffith Lawns,53.37769346064611,-6.25966673989331
117,Walnut Rise,53.3773659067276,-6.2575457084552095
118,Clare Road,53.376643001693296,-6.25359209857676
119,The Village,53.3751904807261,-6.25076574528229
126,Nursing Home,53.3990954666878,-6.264086960560401
127,Nursing Home,53.3991075304829,-6.263680428239669
129,Glasnevin Drive,53.3898903154498,-6.27142293606873
130,Glasnevin Park,53.390092012762004,-6.27418126942501
131,Willow Park Road,53.390385890264795,-6.27834923697204
133,Grove Park Road,53.390796927590294,-6.286301509472881
134,Sycamore Road,53.3930945913226,-6.28607386543557
